title,year,synopsis
Citizen Kane ,1941,"
                                                        Seventy-year-old newspaper tycoon Charles Foster Kane dies in his palatial Florida home, Xanadu, after uttering the single word “Rosebud.” While watching a newsreel summarizing the years during which Kane built a dying newspaper into a major empire, married and divorced twice, ran unsuccessfully for governor and saw the collapse of his newspaper empire during the Depression, an editor decides they have not captured the essence of the controversial newspaperman and assigns reporter Jerry Thompson to discover the meaning of Kane's last word."
The General ,1927,"
                                                        Youthful locomotive engineer Johnnie Gray of the Watern and Atlantic Railroad has two loves in his life, his train engine, which he has named “The General,” and his girl friend Annabelle Lee. On a spring day in 1861 when Jonnie visits Annabelle in Marietta, Georgia, he learns that Confederate troops have fired upon Fort Sumter and joins the throng of Southerns attempting to enlist in the Confederate Army. When he is rejected because his skill as an engineer is deemed vital to the cause, Johnnie attempts to enlist under various disguises. The recruiting officer finally ejects him, causing Johnnie to exclaim, “If you lose this war don’t blame me.”  When Johnnie is too upset to answer Annabelle’s father questions about enlisting, her father assumes Johnnie is shirking his patriotic duty. When Annabelle confronts Johnnie about enlisting, Johnnie tells her the truth, but Annabelle tells him not to speak to her until he is in uniform. A year later, in a Union encampment just north of Chattanooga, General Thatcher and his chief spy, Captain Anderson, make plans to sabotage the Confederate railroad: They will enter the South posing as civilians, steal a train then proceed North, burning every bridge along the way to cut off supplies to the southern troops. Union General Parker will advance to engage the Confederates in a surprise attack on day they steal the train. Meanwhile, in Marietta, Annabelle, who still shuns Johnnie, boards The General en route to visit her father, who has been wounded in the war. When all the passengers disembark at Big Shanty for dinner, except Annabelle, who is in the luggage car searching for her trunk, the disguised Union spies ...
                                                        "
The Graduate ,1967,"
                                                        Benjamin Braddock, filled with doubts about his future, returns to his Los Angeles home after graduating from an Eastern college. His parents soon have a party so they can boast of their son's academic achievements and his bright prospects in business. Mrs. Robinson, one of the guests, persuades Ben to drive her home and there tries to seduce him, but her overtures are interrupted by the sound of her husband's car in the driveway. Blatant in her seductive maneuvers, she soon has the nervous and inexperienced Ben meeting her regularly at the Taft Hotel. As the summer passes, Benjamin becomes increasingly bored and listless; he frequently stays out overnight and returns home to loll around the pool. When his worried parents try to interest him in Elaine, Mrs. Robinson's daughter, Ben agrees to date her to avoid having the entire Robinson family invited to dinner. At first Benjamin is rude to Elaine and takes her to a striptease club, but realizing how cruel he has been, he apologizes and the two begin dating. Outraged, Mrs. Robinson demands that Ben stop seeing her daughter; instead he blurts out the truth to a shocked Elaine, who returns to college in Berkeley. Although Ben follows her and tries to persuade her to marry him, Elaine's parents intervene and encourage her to marry Carl Smith, a student whom she has been dating. Ben returns to Los Angeles, but when Mrs. Robinson refuses to divulge any information about the wedding, he races back to Berkeley and learns that the ceremony will take place in Santa Barbara. Arriving at the church as the final vows are being spoken, he screams Elaine's name over the heads ...
                                                        "
Sunset Blvd. ,1950,"
                                                        Early one morning, police arrive at a large house on Sunset Blvd. in Beverly Hills, where a man's body floats face down in the pool: Six months earlier, while down on his luck, screenwriter Joe C. Gillis is living at the Alto Nido apartments in Hollywood, California.  Joe is served with a court order commanding him to relinquish his car or pay $290 in back payments by noon the next day.  Hoping to make a quick deal, Joe meets with Paramount studio producer Sheldrake to peddle a baseball/gambling picture he has written, but is turned down. While in Sheldrake's office, Joe encounters studio reader Betty Schaefer, who pans the script as formulaic. Sheldrake then refuses him a personal loan, as does his agent.  Despairing, Joe makes plans to return to Dayton, Ohio, where he worked as a newspaper copy writer. While driving down Sunset Blvd.,  he spots the two men who are trying to repossess his car and successfully eludes them, but then has a blowout. He coasts into the driveway of a dilapidated 1920s mansion and hides the car in an empty garage. Joe then enters the house, where stoic butler Max von Mayerling orders him upstairs to consult with ""madame"" immediately.  Joe soon discovers that he has been mistaken for a mortician, who is due to arrive with a baby coffin for ""madame's"" dead pet chimpanzee. Joe recognizes the faded woman as Norma Desmond, once a famous silent movie star.  When she rails against modern talking pictures, Joe tells her that he is a screenwriter. Excitedly, she announces that she is planning a return to the screen in a story she ...
                                                        "
2001: A Space Odyssey ,1968,"
                                                        At the dawn of mankind, a colony of peaceful vegetarian apes awakens to find a glowing black monolith standing in their midst. After tentatively reaching out to touch the mysterious object, the apes become carnivores, with enough intelligence to employ bones for weapons and tools. Four million years later, in the year 2001, Dr. Heywood Floyd, an American scientist, travels to the moon to investigate a monolith that has been discovered below the lunar surface. Knowing only that the slab emits a deafening sound directed toward the planet Jupiter, the U.S. sends a huge spaceship, the "
Psycho ,1960,"
                                                        On a Friday afternoon in Phoenix, Arizona, Marion Crane and her lover, Sam Loomis, are having a romantic rendezvous at a hotel when Marion complains that she is tired of meeting Sam under such sordid circumstances.  Sam, who runs a hardware store in Fairvale, California, assures her that they can marry after he pays his debts, but Marion longs for immediate respectability.  Upon her return to the real estate office where she works as a secretary, Marion learns that her boss, George Lowery, is with oil tycoon Tom Cassidy.  When the men return, the lecherous Cassidy brags to Marion that he is paying $40,000 in cash to buy a house for his daughter.  Lowery, worried about leaving the money in the office over the weekend, tells Marion to take it to the bank, and Marion asks to go home afterward.  After rebuffing Cassidy again, Marion departs, but at her apartment, stuffs the money into her purse and leaves with a suitcase.  Driving until exhaustion forces her to pull over, Marion falls asleep on a lonely stretch of road.  She is awoken on Saturday morning by a highway patrolman, who is suspicious of her irritable manner.  After the policeman dismisses her, Marion, afraid that he will remember her, goes to a used car lot and trades in her vehicle for one with California plates.  Later, during a fierce rainstorm, Marion misses the turnoff to Fairvale and stops at the Bates Motel, where the proprietor, Norman Bates, welcomes her and offers to fix her dinner at his home, a looming structure on the hill behind the motel.  Marion accepts, but as ...
                                                        "
Star Wars ,1977,"
                                                        During an interstellar civil war, rebels battle against an evil empire, led by Darth Vader and a villainous governor named Grand Moff Tarkin.  The imperial stronghold is a planet-sized, armored space station called the "
The Searchers ,1956,"
                                                        Martha Edwards opens the door of her cabin to the arid Texas landscape outside just as her brother-in-law, Ethan Edwards, approaches on horseback.  Although it is 1868, Martha, her husband Aaron, their children Debbie, Lucy and Ben, and their adopted son, Martin Pawley, have not seen Ethan since he left them to fight for the Confederacy during the Civil War. Because Martin, an earnest but friendly young man, is part Cherokee, Ethan treats him coldly, even though it was he who rescued the lad when his parents were massacred in an Indian raid years earlier. Soon after Ethan's arrival, Rev. Samuel Johnson Clayton, a captain in the Texas Rangers as well as an old family friend, announces that the cattle of local rancher Lars Jorgensen have been stolen.  Although Ethan is somewhat contemptuous of Sam, he joins Martin and a posse in pursuit of the thieves.  When they find that the bulls have been killed with Comanche lances, Ethan declares that what the Indians really wanted was to lure the men away from home, thereby leaving their ranches open to attack.  The men head back, but it is too late, for upon their arrival at the Edwards home, they discover that everyone has been brutally murdered except for Lucy and Debbie, who have been taken by the Comanche.  The posse then sets out to find the girls. On finding a fresh Comanche grave, the men unearth the body but are shocked when Ethan shoots out its eyes.  According to Comanche belief, Ethan explains, this will prevent the dead man's spirit from entering the spirit lands and force him to wander forever. The next ...
                                                        "
City Lights ,1931,"
                                                        At an outdoor dedication ceremony, a tramp is discovered sleeping in the arms of a statue as it is being unveiled before a crowd.  He is chased into the city, where he meets a beautiful, blind flower girl, and buys a flower with his last coin.  That night, he stops a drunken man from drowning himself.  Gratefully, the man invites him to his mansion, which is presided over by a snobby butler named James and they begin to drink.  The millionaire and the tramp continue their revels at a nightclub.  Early the next morning, when they return home, the millionaire drunkenly offers the tramp money and the use of his Rolls Royce.  The tramp uses his windfalls to help the flower girl. Because she cannot see his shabby clothes, the girl thinks her benefactor is a wealthy young man. Determined to help her, the tramp returns to the mansion, but the millionaire has sobered up and does not recognize him, so the tramp takes a job cleaning streets and gives the girl and her grandmother what money he can.   By accident the tramp finds out they are behind in their rent and that there is a doctor in Vienna who can cure blindness by an expensive operation. Needing money in a hurry to help his friends, the tramp agrees to participate in a crooked boxing match for a cut of the winning purse, but his crooked partner is replaced by a legitmate fighter, who knocks him cold.  Out on the streets, the tramp runs into the millionaire, who is back from Europe. Drunk again, he gladly gives the tramp $1,000 ...
                                                        "
The Wizard of Oz ,1939,"
                                                        Dorothy Gale, a Kansas farm girl, lives with her Auntie Em and Uncle Henry.  When Almira Gulch, who owns half the county, brings a sheriff's order to take Dorothy's little dog Toto away to have the dog destroyed, because Toto bit Miss Gulch's leg, Auntie Em and Uncle Henry refuse to go against the law, and they give the dog to Miss Gulch.  However, as Miss Gulch rides away on her bicycle with Toto in her basket, the dog escapes and returns home. Realizing that Miss Gulch will come back, Dorothy runs away with Toto.  They come to the wagon of the egotistical, but kindly Professor Marvel, a fortune-teller and balloonist, who tricks Dorothy into believing that her aunt has had an attack because she ran away.  Dorothy rushes home greatly concerned, but a cyclone's approach causes her difficulty, and by the time she gets to the farm, Auntie Em, Uncle Henry and the three farmhands have entered the storm cellar.  Inside her room, Dorothy is hit on the head by a window and knocked unconscious.  When she revives, she sees through the window that the house has risen up inside the cyclone.  When she sees Miss Gulch, traveling in mid-air on her bicycle, transform into a witch on a broomstick, Dorothy averts her eyes. The house comes to rest in Munchkinland, a colorful section of the Land of Oz inhabited by little people, and lands on top of the Wicked Witch of the East. Knowing that the dead witch's ruby slippers contain magic, Glinda, the Good Witch of the North, through her powers, has them placed on Dorothy's feet before the ...
                                                        "
